"#Siegbahn","IUPAC",
"Ka1","KL3",
"Ka2","KL2",
"Ka3","KL1",
"Kb1","KM3",
"Kb2","KN3","KN2"
"K1b2","KN3",
"K2b2","KN2",
"Kb3","KM2",
"Kb4","KN5","KN4"
"K1b4","KN5",
"K2b4","KN4",
"Kb4x","KN4",
"Kb5","KM5","KM4"
"K1b5","KM5",
"K2b5","KM4",
"Kd2","KO2",
"Kd1","KO3",
"La1","L3M5",
"La2","L3M4",
"Lb1","L2M4",
"Lb2","L3N5",
"Lb3","L1M3",
"Lb4","L1M2",
"Lb5","L3O4","L3O5"
"Lb6","L3N1",
"Lb7","L3O1",
"Lb7prime","L3N6","L3N7"
"Lb9","L1M5",
"Lb10","L1M4",
"Lb15","L3N4",
"Lb17","L2M3",
"Lg1","L2N4",
"Lg2","L1N2",
"Lg3","L1N3",
"Lg4","L1O3",
"Lg4prime","L1O2",
"Lg5","L2N1",
"Lg6","L2O4",
"Lg8","L2O1",
"Lg8prime","L2N6",
"Le","L2M1",
"Ll","L3M1",
"Ls","L3M3",
"Lt","L3M2",
"Lu","L3N6","L3N7"
"Lv","L2N6",
"Ma1","M5N7",
"Ma2","M5N6",
"Ma","M5N6","M5N7"
"Mb","M4N6",
"Mb1","M4N6",
"Mg","M3N5",
"Mg1","M3N5",
"Mg2","M3N4",
"Md","M2N4",
"Me","M3O5",
"Mz","M4N2","M5N3"
"Mz1","M5N3",
"Mz2","M4N2",
