X (nm)	gD(X) (# e)	Var gD(X) (# e)	
-1288.98	0	0	
-1235.27	0	0	
-1181.57	0	0	
-1127.86	0	0	
-1074.15	0	0	
-1020.44	0	0	
-966.737	0	0	
-913.029	0	0	
-859.322	3.72387e-05	7.89161e-05	
-805.614	9.30967e-05	0.00012459	
-751.906	1.86193e-05	5.58301e-05	
-698.199	0.000242051	0.000200086	
-644.491	0.000186193	0.000175753	
-590.784	0.000167574	0.000166818	
-537.076	0.000335148	0.000234843	
-483.368	0.000484103	0.000281094	
-429.661	0.000539961	0.000296411	
-375.953	0.0005772	0.000306146	
-322.246	0.000763393	0.000350257	
-268.538	0.000744774	0.000346139	
-214.83	0.000707535	0.000337726	
-161.123	0.000707535	0.000337726	
-107.415	0.000819251	0.000362277	
-53.7076	0.000782012	0.000354318	
2.13163e-14	0.00083787	0.000366179	
53.7076	0.000949586	0.000388601	
107.415	0.000875109	0.000373836	
161.123	0.00102406	0.000402701	
214.83	0.000688916	0.000333426	
268.538	0.00055858	0.000301323	
322.246	0.000763393	0.000350257	
375.953	0.000502722	0.000286302	
429.661	0.0005772	0.000306146	
483.368	0.000446864	0.000270344	
537.076	0.000391006	0.000253272	
590.784	0.000353767	0.000241155	
644.491	0.000260671	0.000207533	
698.199	0.000111716	0.000136413	
751.906	5.5858e-05	9.66037e-05	
805.614	7.44774e-05	0.000111492	
859.322	1.86193e-05	5.58301e-05	
913.029	7.44774e-05	0.000111492	
966.737	1.86193e-05	5.58301e-05	
1020.44	0	0	
1074.15	0	0	
1127.86	0	0	
1181.57	0	0	
1235.27	0	0	
1288.98	0	0	
Electron Result File: Lateral X
