E (ev)	Z (nm)	PRZ	Error	
50	-1309.19	0	0	
50	-1295.9	0	0	
50	-1282.61	0	0	
50	-1269.32	0	0	
50	-1256.03	0	0	
50	-1242.73	0	0	
50	-1229.44	0	0	
50	-1216.15	0	0	
50	-1202.86	0	0	
50	-1189.57	0	0	
50	-1176.28	0	0	
50	-1162.99	0	0	
50	-1149.7	0	0	
50	-1136.4	0.000168649	0.000168565	
50	-1123.11	0.00061509	0.000614782	
50	-1109.82	8.93568e-05	8.93121e-05	
50	-1096.53	0.00174584	0.00117499	
50	-1083.24	0.000468963	0.000271094	
50	-1069.95	0.00121656	0.000764264	
50	-1056.66	0.00139864	0.000704024	
50	-1043.37	0.00282379	0.00134326	
50	-1030.07	0.00165617	0.000685213	
50	-1016.78	0.00159172	0.000635797	
50	-1003.49	0.00315175	0.00114712	
50	-990.2	0.0053584	0.00174633	
50	-976.909	0.00862197	0.00239637	
50	-963.617	0.0133773	0.0033308	
50	-950.326	0.0164339	0.00362529	
50	-937.035	0.0196136	0.00415205	
50	-923.744	0.0238639	0.00466115	
50	-910.452	0.0259762	0.00505054	
50	-897.161	0.0265615	0.00459337	
50	-883.87	0.0332756	0.00575685	
50	-870.578	0.0378004	0.00586546	
50	-857.287	0.0448636	0.00663848	
50	-843.996	0.056769	0.00728115	
50	-830.705	0.0684193	0.00882966	
50	-817.413	0.0617544	0.0076714	
50	-804.122	0.0711879	0.00877654	
50	-790.831	0.0643667	0.0072825	
50	-777.54	0.0867183	0.0110265	
50	-764.248	0.0894471	0.0099921	
50	-750.957	0.120757	0.0135932	
50	-737.666	0.131368	0.0137143	
50	-724.374	0.143607	0.0139701	
50	-711.083	0.174542	0.0164272	
50	-697.792	0.17789	0.0160153	
50	-684.501	0.195858	0.0170363	
50	-671.209	0.222504	0.0203313	
50	-657.918	0.234148	0.0210629	
50	-644.627	0.239191	0.0201835	
50	-631.336	0.237684	0.0188475	
50	-618.044	0.267474	0.0215694	
50	-604.753	0.292251	0.0249296	
50	-591.462	0.29923	0.0229892	
50	-578.17	0.311047	0.0239167	
50	-564.879	0.347482	0.024631	
50	-551.588	0.358906	0.0257804	
50	-538.297	0.41465	0.0300696	
