#Exit Angle (deg)	Exit Angle (deg) Ori	Exit Angle (rad)	n(o)	Error n(o) (3S)	cumul n(o)	Error cumul n(o) (3S)	n(o) theoritical	cumul n(o) theoritical	n(o)*sin(o)*do
-89.5477	270.452	-1.5629	0	0	0	0	0.00239958	0	0
-88.6432	271.357	-1.54712	0	0	0	0	0.00719815	0	0
-87.7387	272.261	-1.53133	0	0	0	0	0.0119949	0	0
-86.8342	273.166	-1.51554	0.0101017	0.0302899	0.001	0.0029985	0.0167887	0	-0.000159231
-85.9296	274.07	-1.49976	0.0101131	0.030324	0.002	0.0042384	0.0215783	0	-0.000159251
-85.0251	274.975	-1.48397	0	0	0.002	0.0042384	0.0263625	0	0
-84.1206	275.879	-1.46818	0	0	0.002	0.0042384	0.0311402	0	0
-83.2161	276.784	-1.45239	0	0	0.002	0.0042384	0.0359101	0	0
-82.3116	277.688	-1.43661	0	0	0.002	0.0042384	0.040671	0	0
-81.407	278.593	-1.42082	0.0102085	0.0306102	0.003	0.00518835	0.0454218	0	-0.000159352
-80.5025	279.497	-1.40503	0	0	0.003	0.00518835	0.0501613	0	0
-79.598	280.402	-1.38925	0	0	0.003	0.00518835	0.0548883	0	0
-78.6935	281.307	-1.37346	0	0	0.003	0.00518835	0.0596016	0	0
-77.7889	282.211	-1.35767	0	0	0.003	0.00518835	0.0643001	0	0
-76.8844	283.116	-1.34189	0	0	0.003	0.00518835	0.0689825	0	0
-75.9799	284.02	-1.3261	0	0	0.003	0.00518835	0.0736477	0	0
-75.0754	284.925	-1.31031	0	0	0.003	0.00518835	0.0782946	0	0
-74.1709	285.829	-1.29453	0.0210055	0.0445149	0.005	0.00669141	0.082922	0	-0.000319037
-73.2663	286.734	-1.27874	0	0	0.005	0.00669141	0.0875287	0	0
-72.3618	287.638	-1.26295	0	0	0.005	0.00669141	0.0921136	0	0
-71.4573	288.543	-1.24716	0.0106621	0.0319704	0.006	0.00732639	0.0966755	0	-0.000159584
-70.5528	289.447	-1.23138	0.0214435	0.045443	0.008	0.00845127	0.101213	0	-0.000319213
-69.6482	290.352	-1.21559	0	0	0.008	0.00845127	0.105726	0	0
-68.7437	291.256	-1.1998	0	0	0.008	0.00845127	0.110212	0	0
-67.8392	292.161	-1.18402	0	0	0.008	0.00845127	0.114671	0	0
-66.9347	293.065	-1.16823	0	0	0.008	0.00845127	0.119101	0	0
-66.0302	293.97	-1.15244	0	0	0.008	0.00845127	0.123502	0	0
-65.1256	294.874	-1.13666	0	0	0.008	0.00845127	0.127872	0	0
-64.2211	295.779	-1.12087	0	0	0.008	0.00845127	0.132209	0	0
-63.3166	296.683	-1.10508	0.0113285	0.0339685	0.009	0.00895941	0.136514	0	-0.000159795
-62.4121	297.588	-1.0893	0.0114223	0.0342499	0.01	0.00943928	0.140785	0	-0.000159821
-61.5075	298.492	-1.07351	0.0230413	0.048829	0.012	0.0103298	0.145021	0	-0.000319693
-60.603	299.397	-1.05772	0.0232471	0.0492653	0.014	0.0111461	0.149221	0	-0.000319745
-59.6985	300.302	-1.04194	0.0234626	0.0497219	0.016	0.0119036	0.153383	0	-0.000319798
-58.794	301.206	-1.02615	0	0	0.016	0.0119036	0.157508	0	0
-57.8894	302.111	-1.01036	0.011962	0.0358679	0.017	0.0122637	0.161593	0	-0.000159954
-56.9849	303.015	-0.994575	0.0120853	0.0362378	0.018	0.0126129	0.165637	0	-0.000159982
-56.0804	303.92	-0.978788	0.0244286	0.051769	0.02	0.0132816	0.169641	0	-0.000320022
-55.1759	304.824	-0.963001	0.0123492	0.037029	0.021	0.0136026	0.173602	0	-0.00016004
-54.2714	305.729	-0.947214	0.0124902	0.0374519	0.022	0.0139156	0.17752	0	-0.00016007
-53.3668	306.633	-0.931427	0	0	0.022	0.0139156	0.181394	0	0
-52.4623	307.538	-0.91564	0.0383758	0.0663691	0.025	0.0148113	0.185222	0	-0.000480398
-51.5578	308.442	-0.899853	0.0129532	0.0388403	0.026	0.0150969	0.189004	0	-0.000160165
-50.6533	309.347	-0.884066	0.026244	0.0556162	0.028	0.0156507	0.19274	0	-0.000320397
-49.7487	310.251	-0.868279	0	0	0.028	0.0156507	0.196427	0	0
-48.8442	311.156	-0.852492	0	0	0.028	0.0156507	0.200065	0	0
-47.9397	312.06	-0.836706	0.0547072	0.0818965	0.032	0.0166968	0.203653	0	-0.000641213
-47.0352	312.965	-0.820919	0	0	0.032	0.0166968	0.207191	0	0
-46.1307	313.869	-0.805132	0.0140916	0.0422537	0.033	0.0169469	0.210677	0	-0.000160379
-45.2261	314.774	-0.789345	0	0	0.033	0.0169469	0.21411	0	0
-44.3216	315.678	-0.773558	0.0436421	0.0754769	0.036	0.017673	0.217491	0	-0.000481376
-43.4171	316.583	-0.757771	0.0147921	0.0443542	0.037	0.0179075	0.220816	0	-0.0001605
-42.5126	317.487	-0.741984	0	0	0.037	0.0179075	0.224087	0	0
-41.608	318.392	-0.726197	0	0	0.037	0.0179075	0.227302	0	0
-40.7035	319.296	-0.71041	0.0312055	0.0661306	0.039	0.018366	0.230461	0	-0.000321271
-39.799	320.201	-0.694624	0	0	0.039	0.018366	0.233562	0	0
-38.8945	321.106	-0.678837	0.0810773	0.108504	0.044	0.019457	0.236604	0	-0.000803671
-37.9899	322.01	-0.66305	0	0	0.044	0.019457	0.239588	0	0
-37.0854	322.915	-0.647263	0	0	0.044	0.019457	0.242512	0	0
-36.1809	323.819	-0.631476	0.034529	0.0731738	0.046	0.0198735	0.245376	0	-0.000321796
-35.2764	324.724	-0.615689	0.0353083	0.0748253	0.048	0.0202796	0.248178	0	-0.000321915
-34.3719	325.628	-0.599902	0.0180664	0.054172	0.049	0.020479	0.250919	0	-0.00016102
-33.4673	326.533	-0.584115	0.018503	0.0554814	0.05	0.0206761	0.253597	0	-0.000161085
-32.5628	327.437	-0.568328	0	0	0.05	0.0206761	0.256212	0	0
-31.6583	328.342	-0.552541	0	0	0.05	0.0206761	0.258763	0	0
-30.7538	329.246	-0.536755	0.0399626	0.0846886	0.052	0.0210633	0.261249	0	-0.000322603
-29.8492	330.151	-0.520968	0	0	0.052	0.0210633	0.263671	0	0
