Z (nm)	gD(Z) (#e/nm)	Var gD(Z) (#e/nm)	
-1312.53	0	0	
-1305.92	0	0	
-1299.31	0	0	
-1292.69	0	0	
-1286.08	0	0	
-1279.47	0	0	
-1272.86	0	0	
-1266.24	0	0	
-1259.63	0	0	
-1253.02	0	0	
-1246.41	0	0	
-1239.8	0	0	
-1233.18	0	0	
-1226.57	0	0	
-1219.96	0	0	
-1213.35	0	0	
-1206.73	0	0	
-1200.12	0	0	
-1193.51	0	0	
-1186.9	0	0	
-1180.29	0	0	
-1173.67	0	0	
-1167.06	0	0	
-1160.45	0	0	
-1153.84	0	0	
-1147.22	0	0	
-1140.61	0	0	
-1134	0	0	
-1127.39	0	0	
-1120.78	0.000151235	0.000453477	
-1114.16	0	0	
-1107.55	0	0	
-1100.94	0.000151235	0.000453477	
-1094.33	0.000151235	0.000453477	
-1087.71	0	0	
-1081.1	0	0	
-1074.49	0	0	
-1067.88	0.000151235	0.000453477	
-1061.26	0	0	
-1054.65	0.000151235	0.000453477	
-1048.04	0.000151235	0.000453477	
-1041.43	0.000302469	0.000640992	
-1034.82	0	0	
-1028.2	0	0	
-1021.59	0	0	
-1014.98	0	0	
-1008.37	0.000151235	0.000453477	
-1001.75	0	0	
-995.142	0	0	
-988.53	0.000151235	0.000453477	
-981.918	0.000604939	0.000905591	
-975.306	0.000151235	0.000453477	
-968.693	0.000151235	0.000453477	
-962.081	0.000302469	0.000640992	
-955.469	0.000756173	0.00101197	
-948.857	0	0	
-942.245	0.000907408	0.001108	
-935.632	0.000756173	0.00101197	
-929.02	0.000302469	0.000640992	
-922.408	0.000604939	0.000905591	
-915.796	0.000907408	0.001108	
-909.183	0.000302469	0.000640992	
-902.571	0.000604939	0.000905591	
-895.959	0.000302469	0.000640992	
-889.347	0.000302469	0.000640992	
-882.734	0.000453704	0.000784659	
-876.122	0.000907408	0.001108	
-869.51	0.000907408	0.001108	
-862.898	0.000907408	0.001108	
-856.285	0.000604939	0.000905591	
-849.673	0.000453704	0.000784659	
-843.061	0.000604939	0.000905591	
-836.449	0.000907408	0.001108	
-829.836	0.00120988	0.00127813	
-823.224	0.00136111	0.00135497	
-816.612	0.000453704	0.000784659	
-810	0.000302469	0.000640992	
-803.387	0.000907408	0.001108	
-796.775	0.000756173	0.00101197	
-790.163	0.000604939	0.000905591	
-783.551	0.00105864	0.00119618	
-776.938	0.000604939	0.000905591	
-770.326	0.00120988	0.00127813	
-763.714	0.000907408	0.001108	
-757.102	0.000604939	0.000905591	
-750.489	0.00136111	0.00135497	
-743.877	0.000756173	0.00101197	
-737.265	0.000907408	0.001108	
-730.653	0.00151235	0.00142755	
-724.041	0.00105864	0.00119618	
-717.428	0.00151235	0.00142755	
-710.816	0.00136111	0.00135497	
-704.204	0.00105864	0.00119618	
-697.592	0.000907408	0.001108	
-690.979	0.00105864	0.00119618	
-684.367	0.00105864	0.00119618	
-677.755	0.00105864	0.00119618	
-671.143	0.00136111	0.00135497	
-664.53	0.00166358	0.00149647	
-657.918	0.00136111	0.00135497	
-651.306	0.000756173	0.00101197	
-644.694	0.00196605	0.00162518	
-638.081	0.000907408	0.001108	
-631.469	0.00105864	0.00119618	
-624.857	0.00151235	0.00142755	
-618.245	0.00151235	0.00142755	
-611.632	0.000907408	0.001108	
-605.02	0.00136111	0.00135497	
-598.408	0.000756173	0.00101197	
-591.796	0.00120988	0.00127813	
-585.183	0.00120988	0.00127813	
-578.571	0.00105864	0.00119618	
-571.959	0.00105864	0.00119618	
-565.347	0.00120988	0.00127813	
-558.734	0.000907408	0.001108	
-552.122	0.00136111	0.00135497	
-545.51	0.000756173	0.00101197	
-538.898	0.00181482	0.00156222	
-532.285	0.00136111	0.00135497	
-525.673	0.000151235	0.000453477	
-519.061	0.00105864	0.00119618	
-512.449	0.00120988	0.00127813	
-505.837	0.00105864	0.00119618	
