Y (nm)	gD(Y) (# e)	Var gD(Y) (# e)	
-1288.98	0	0	
-1235.27	0	0	
-1181.57	0	0	
-1127.86	0	0	
-1074.15	0	0	
-1020.44	0	0	
-966.737	0	0	
-913.029	1.86193e-05	5.58301e-05	
-859.322	3.72387e-05	7.89161e-05	
-805.614	5.5858e-05	9.66037e-05	
-751.906	0.000111716	0.000136413	
-698.199	0.000111716	0.000136413	
-644.491	0.000167574	0.000166818	
-590.784	0.000372387	0.000247294	
-537.076	0.000335148	0.000234843	
-483.368	0.000465483	0.000275777	
-429.661	0.00055858	0.000301323	
-375.953	0.000707535	0.000337726	
-322.246	0.000633058	0.000320121	
-268.538	0.000893728	0.000377594	
-214.83	0.000800632	0.000358324	
-161.123	0.000763393	0.000350257	
-107.415	0.000651677	0.000324626	
-53.7076	0.000688916	0.000333426	
2.13163e-14	0.00085649	0.000370031	
53.7076	0.000744774	0.000346139	
107.415	0.00085649	0.000370031	
161.123	0.000875109	0.000373836	
214.83	0.00055858	0.000301323	
268.538	0.000688916	0.000333426	
322.246	0.000763393	0.000350257	
375.953	0.000651677	0.000324626	
429.661	0.000521341	0.000291405	
483.368	0.000539961	0.000296411	
537.076	0.00055858	0.000301323	
590.784	0.000242051	0.000200086	
644.491	0.000204813	0.000184238	
698.199	5.5858e-05	9.66037e-05	
751.906	0.000186193	0.000175753	
805.614	5.5858e-05	9.66037e-05	
859.322	3.72387e-05	7.89161e-05	
913.029	1.86193e-05	5.58301e-05	
966.737	0	0	
1020.44	0	0	
1074.15	0	0	
1127.86	0	0	
1181.57	0	0	
1235.27	0	0	
1288.98	0	0	
Electron Result File: Lateral Y
