R (nm)	gD(R) (# e)	Var gD(R) (# e)	
3.30612	0	0	
9.91836	1.52479e-05	4.57209e-05	
16.5306	0	0	
23.1428	6.53483e-06	1.95947e-05	
29.7551	5.08265e-06	1.52403e-05	
36.3673	0	0	
42.9796	7.03751e-06	1.49139e-05	
49.5918	3.04959e-06	9.14419e-06	
56.2041	8.07244e-06	1.39609e-05	
62.8163	0	0	
69.4285	2.17828e-06	6.53156e-06	
76.0408	1.98886e-06	5.9636e-06	
82.653	1.28083e-05	1.44723e-05	
89.2653	5.08265e-06	8.79019e-06	
95.8775	0	0	
102.49	4.42682e-06	7.65597e-06	
109.102	1.38618e-06	4.15645e-06	
115.714	6.53483e-06	8.74545e-06	
122.326	2.47264e-06	5.24001e-06	
128.939	4.69167e-06	7.02342e-06	
135.551	8.92562e-06	9.42911e-06	
142.163	3.19143e-06	5.51942e-06	
148.775	4.06612e-06	6.08697e-06	
155.388	3.89309e-06	5.82795e-06	
162	4.66774e-06	6.24675e-06	
168.612	0	0	
175.224	6.90473e-06	7.29422e-06	
181.837	4.15853e-06	5.56529e-06	
188.449	8.02523e-06	7.57524e-06	
195.061	2.32596e-06	4.02263e-06	
201.673	5.99919e-06	6.3376e-06	
208.286	5.80874e-06	6.13641e-06	
214.898	5.63001e-06	5.94759e-06	
221.51	2.04823e-06	3.54231e-06	
228.122	5.30363e-06	5.6028e-06	
234.735	3.86568e-06	4.72024e-06	
241.347	5.01302e-06	5.2958e-06	
247.959	6.09918e-06	5.75718e-06	
254.571	1.78223e-06	3.08227e-06	
261.184	3.47421e-06	4.24224e-06	
267.796	5.64739e-06	5.33073e-06	
274.408	6.61357e-06	5.69305e-06	
281.02	4.84346e-06	4.82162e-06	
287.633	3.15475e-06	3.85215e-06	
294.245	2.0559e-06	3.07768e-06	
300.857	4.52411e-06	4.50371e-06	
307.469	5.41056e-06	4.86704e-06	
314.082	4.33363e-06	4.31408e-06	
320.694	4.24427e-06	4.22513e-06	
327.306	1.38618e-06	2.39732e-06	
333.918	3.62327e-06	3.82766e-06	
340.53	4.44115e-06	4.19212e-06	
347.143	3.48524e-06	3.68184e-06	
353.755	2.56507e-06	3.13212e-06	
360.367	4.19668e-06	3.96136e-06	
366.979	3.70896e-06	3.69223e-06	
373.592	3.64331e-06	3.62688e-06	
380.204	4.77327e-06	4.10889e-06	
386.816	3.51876e-06	3.50289e-06	
393.428	4.61282e-06	3.97078e-06	
400.041	3.78048e-06	3.5685e-06	
406.653	3.34711e-06	3.33201e-06	
413.265	2.56165e-06	2.89446e-06	
419.877	2.8815e-06	3.04404e-06	
426.49	5.31905e-06	4.0891e-06	
433.102	2.44433e-06	2.76189e-06	
439.714	2.06363e-06	2.51983e-06	
446.326	2.3719e-06	2.68005e-06	
452.939	3.00507e-06	2.99152e-06	
459.551	4.93638e-06	3.79492e-06	
466.163	3.89309e-06	3.35123e-06	
472.775	4.47842e-06	3.5655e-06	
479.388	3.47022e-06	3.12162e-06	
486	3.42301e-06	3.07915e-06	
492.612	2.14904e-06	2.42824e-06	
499.224	2.12057e-06	2.39608e-06	
505.837	2.69081e-06	2.67868e-06	
512.449	3.24634e-06	2.92023e-06	
519.061	2.91362e-06	2.75025e-06	
525.673	2.58927e-06	2.5776e-06	
532.285	2.27299e-06	2.4012e-06	
538.898	1.40318e-06	1.87786e-06	
545.51	3.04959e-06	2.74324e-06	
552.122	3.5609e-06	2.94352e-06	
558.734	1.89471e-06	2.14087e-06	
565.347	4.28012e-06	3.18431e-06	
571.959	2.11532e-06	2.23464e-06	
578.571	3.39811e-06	2.80896e-06	
585.183	2.32596e-06	2.31547e-06	
591.796	3.06663e-06	2.63979e-06	
598.408	3.03274e-06	2.61062e-06	
605.02	1.24983e-06	1.67263e-06	
611.632	2.7199e-06	2.44668e-06	
618.245	1.71234e-06	1.9348e-06	
624.857	2.66234e-06	2.39489e-06	
631.469	2.15547e-06	2.14575e-06	
638.081	1.42209e-06	1.73646e-06	
644.694	1.17292e-06	1.5697e-06	
651.306	6.96607e-07	1.20475e-06	
657.918	2.06882e-06	2.05949e-06	
664.53	2.04823e-06	2.03899e-06	
671.143	6.76017e-07	1.16914e-06	
677.755	2.00827e-06	1.99921e-06	
684.367	2.43083e-06	2.18664e-06	
690.979	1.31322e-06	1.60353e-06	
697.592	4.33591e-07	9.18865e-07	
704.204	1.28856e-06	1.57341e-06	
710.816	8.51048e-07	1.27402e-06	
717.428	1.89721e-06	1.88865e-06	
724.041	1.04438e-06	1.39767e-06	
730.653	6.20957e-07	1.07391e-06	
737.265	8.20517e-07	1.22831e-06	
743.877	4.06612e-07	8.61691e-07	
750.489	4.03029e-07	8.54099e-07	
757.102	5.99264e-07	1.0364e-06	
763.714	5.94076e-07	1.02742e-06	
770.326	7.85302e-07	1.17559e-06	
