E(ev)	I film	
50	9.59834e-09	
150	3.13152e-09	
250	1.84045e-09	
350	1.28864e-09	
450	9.83164e-10	
550	7.89598e-10	
650	6.5624e-10	
750	5.58968e-10	
850	4.85015e-10	
950	4.26991e-10	
1050	3.80324e-10	
1150	3.42035e-10	
1250	3.10097e-10	
1350	2.83086e-10	
1450	2.59973e-10	
1550	2.39993e-10	
1650	2.22569e-10	
1750	2.07255e-10	
1850	1.93703e-10	
1950	1.81637e-10	
2050	1.70834e-10	
2150	1.61114e-10	
2250	1.52329e-10	
2350	1.44355e-10	
2450	1.37091e-10	
2550	1.3045e-10	
2650	1.24359e-10	
2750	1.18756e-10	
2850	1.13587e-10	
2950	1.08807e-10	
3050	1.04376e-10	
3150	1.00258e-10	
3250	9.64245e-11	
3350	9.28475e-11	
3450	8.95039e-11	
3550	8.63729e-11	
3650	8.34361e-11	
3750	8.0677e-11	
3850	7.80809e-11	
3950	7.56347e-11	
4050	7.33266e-11	
4150	7.1146e-11	
4250	6.90832e-11	
4350	6.71296e-11	
4450	6.52772e-11	
4550	6.35189e-11	
4650	6.18482e-11	
4750	6.02592e-11	
4850	5.87463e-11	
4950	5.73047e-11	
5050	5.59296e-11	
5150	5.4617e-11	
5250	5.33629e-11	
5350	5.21639e-11	
5450	5.10165e-11	
5550	4.99178e-11	
5650	4.88649e-11	
5750	4.78552e-11	
5850	4.68863e-11	
5950	4.5956e-11	
6050	4.50621e-11	
6150	4.42028e-11	
6250	4.33761e-11	
6350	4.25803e-11	
6450	4.1814e-11	
6550	4.10756e-11	
6650	4.03637e-11	
6750	3.9677e-11	
6850	3.90143e-11	
6950	3.83744e-11	
7050	3.77564e-11	
7150	3.7159e-11	
7250	3.65815e-11	
7350	3.60229e-11	
7450	3.54823e-11	
7550	3.49589e-11	
7650	3.44521e-11	
7750	3.39611e-11	
7850	3.34851e-11	
7950	3.30237e-11	
8050	3.25761e-11	
8150	3.21418e-11	
8250	3.17202e-11	
8350	3.13109e-11	
8450	3.09134e-11	
8550	3.05271e-11	
8650	3.01517e-11	
8750	2.97867e-11	
8850	2.94318e-11	
8950	2.90865e-11	
9050	2.87504e-11	
9150	2.84234e-11	
9250	2.81049e-11	
9350	2.77948e-11	
9450	2.74927e-11	
9550	2.71982e-11	
9650	2.69113e-11	
9750	2.66315e-11	
9850	2.63587e-11	
9950	2.60926e-11	
