Z (nm)	Ka113PRZ	Ka113Error PRZ	Ka213PRZ	Ka213Error PRZ	Kb113PRZ	Kb113Error PRZ	
-1309.19	0	0	0	0	0	0	
-1295.9	0	0	0	0	0	0	
-1282.61	0	0	0	0	0	0	
-1269.32	0	0	0	0	0	0	
-1256.03	0	0	0	0	0	0	
-1242.73	0	0	0	0	0	0	
-1229.44	0	0	0	0	0	0	
-1216.15	0	0	0	0	0	0	
-1202.86	0	0	0	0	0	0	
-1189.57	0	0	0	0	0	0	
-1176.28	0	0	0	0	0	0	
-1162.99	0	0	0	0	0	0	
-1149.7	0	0	0	0	0	0	
-1136.4	0	0	0	0	0	0	
-1123.11	2.93209e-05	2.93063e-05	2.93093e-05	2.92946e-05	3.00658e-05	3.00507e-05	
-1109.82	0.000153977	0.0001539	0.000153916	0.000153839	0.000157869	0.00015779	
-1096.53	0.000416271	0.000376051	0.000416108	0.000375903	0.00042666	0.000385439	
-1083.24	0.00137598	0.00104197	0.00137544	0.00104157	0.00140989	0.00106766	
-1069.95	0.00335976	0.00238302	0.00335847	0.00238211	0.00344154	0.00244101	
-1056.66	0.00267399	0.00160439	0.00267298	0.00160378	0.00273835	0.00164302	
-1043.37	0.00294359	0.00142632	0.0029425	0.00142579	0.00301346	0.00146018	
-1030.07	0.00524959	0.00238371	0.00524766	0.00238284	0.00537273	0.00243963	
-1016.78	0.00941781	0.00493579	0.00941439	0.004934	0.00963534	0.00504965	
-1003.49	0.00962678	0.00357865	0.00962333	0.00357737	0.00984675	0.00366045	
-990.2	0.0178444	0.00610905	0.0178381	0.0061069	0.0182456	0.0062463	
-976.909	0.0219926	0.00631022	0.0219849	0.00630802	0.0224813	0.00645052	
-963.617	0.0324936	0.00939729	0.0324824	0.00939406	0.0332058	0.0096032	
-950.326	0.0585364	0.0149908	0.0585166	0.0149857	0.0598014	0.015315	
-937.035	0.0596286	0.0136703	0.0596087	0.0136658	0.0608994	0.0139618	
-923.744	0.0733773	0.0136736	0.0733531	0.0136691	0.0749173	0.0139606	
-910.452	0.0910386	0.0161113	0.091009	0.0161061	0.0929229	0.0164448	
-897.161	0.0983753	0.014581	0.0983438	0.0145764	0.100381	0.0148784	
-883.87	0.128448	0.0213478	0.128407	0.0213411	0.131027	0.0217763	
-870.578	0.123945	0.0158036	0.123906	0.0157987	0.126396	0.0161162	
-857.287	0.156008	0.0206978	0.155961	0.0206915	0.159046	0.021101	
-843.996	0.21539	0.026457	0.215325	0.026449	0.219518	0.0269639	
-830.705	0.238823	0.0270404	0.238752	0.0270324	0.243328	0.0275505	
-817.413	0.227615	0.0221053	0.227548	0.0220989	0.23184	0.0225157	
-804.122	0.26976	0.0290179	0.269682	0.0290096	0.274684	0.0295475	
-790.831	0.288375	0.0267205	0.288294	0.0267129	0.293552	0.0272002	
-777.54	0.3138	0.0289171	0.313713	0.0289091	0.319337	0.0294275	
-764.248	0.379148	0.0357334	0.379045	0.0357236	0.385721	0.0363526	
-750.957	0.453688	0.0393228	0.453566	0.0393122	0.461417	0.0399928	
-737.666	0.477526	0.0393836	0.4774	0.0393732	0.48552	0.040043	
-724.374	0.514767	0.0379634	0.514634	0.0379535	0.523223	0.0385871	
-711.083	0.629354	0.0471048	0.629194	0.0470929	0.639506	0.0478647	
-697.792	0.66985	0.0494866	0.669683	0.0494743	0.680447	0.0502695	
-684.501	0.721809	0.0507483	0.721633	0.0507359	0.733013	0.0515361	
-671.209	0.756449	0.0541801	0.756267	0.0541671	0.76796	0.055005	
-657.918	0.748332	0.0482652	0.748156	0.0482539	0.759492	0.0489849	
-644.627	0.759772	0.0473266	0.759598	0.0473157	0.770872	0.048018	
-631.336	0.837432	0.0549975	0.837244	0.0549851	0.849409	0.0557839	
-618.044	0.852111	0.0506096	0.851923	0.0505984	0.864047	0.0513187	
-604.753	0.907555	0.0560198	0.907359	0.0560077	0.919986	0.0567876	
-591.462	0.942235	0.0519048	0.942036	0.0518939	0.954856	0.0526005	
-578.17	1.02379	0.0548448	1.02358	0.0548335	1.03719	0.0555628	
-564.879	1.12696	0.0613282	1.12673	0.0613158	1.14137	0.0621124	
-551.588	1.14948	0.0618918	1.14925	0.0618796	1.16384	0.0626652	
-538.297	1.20085	0.0626067	1.20062	0.0625947	1.21548	0.0633693	
-525.005	1.22464	0.0622016	1.22441	0.06219	1.23919	0.062941	
-511.714	1.28801	0.0687869	1.28777	0.0687743	1.30292	0.0695837	
-498.423	1.33276	0.0702304	1.33253	0.0702179	1.34779	0.0710218	
-485.132	1.4622	0.0715829	1.46194	0.0715705	1.47824	0.0723685	
-471.84	1.53918	0.0761431	1.53892	0.0761303	1.5556	0.0769554	
-458.549	1.54524	0.072253	1.54499	0.0722412	1.56127	0.073002	
-445.258	1.63046	0.0703203	1.6302	0.0703091	1.64687	0.0710281	
-431.966	1.61789	0.0688153	1.61764	0.0688047	1.6337	0.0694876	
-418.675	1.72514	0.080925	1.72488	0.0809129	1.74146	0.0816905	
-405.384	1.73806	0.0789535	1.7378	0.0789421	1.75398	0.0796766	
-392.093	1.77126	0.0776567	1.77101	0.0776458	1.78696	0.078345	
-378.801	1.72299	0.0717415	1.72276	0.0717318	1.73774	0.0723549	
-365.51	1.79042	0.0728986	1.79018	0.0728891	1.8052	0.0735006	
-352.219	1.81683	0.0711056	1.8166	0.0710967	1.83127	0.0716709	
-338.928	1.84163	0.0704125	1.8414	0.070404	1.85572	0.0709516	
-325.636	1.87659	0.0731952	1.87637	0.0731867	1.89039	0.0737339	
-312.345	1.89547	0.0715709	1.89526	0.0715629	1.90883	0.0720751	
-299.054	2.02796	0.084142	2.02775	0.084133	2.04166	0.0847106	
-285.762	2.02821	0.0792961	2.02801	0.079288	2.0413	0.0798077	
-272.471	2.11406	0.0900877	2.11385	0.090079	2.12706	0.0906423	
-259.18	2.02268	0.0818724	2.02249	0.0818648	2.03451	0.0823509	
-245.889	1.98797	0.0724802	1.98779	0.0724739	1.999	0.0728828	
-232.597	2.06297	0.0822489	2.06279	0.0822421	2.07378	0.0826799	
-219.306	2.10876	0.0836514	2.1086	0.0836448	2.1192	0.0840659	
-206.015	2.08624	0.0816973	2.08609	0.0816913	2.09594	0.0820762	
-192.723	1.99749	0.0793553	1.99735	0.0793499	2.00617	0.0797005	
-179.432	1.89708	0.0746379	1.89696	0.0746331	1.90475	0.0749401	
-166.141	1.8327	0.0659269	1.83259	0.065923	1.83956	0.0661733	
-152.85	1.914	0.0827876	1.91389	0.0827831	1.92059	0.0830733	
-139.558	1.79651	0.0640724	1.79642	0.0640692	1.80216	0.0642746	
-126.267	1.87071	0.0872444	1.87062	0.0872405	1.87603	0.0874923	
-112.976	1.83893	0.0715902	1.83885	0.0715873	1.84361	0.0717722	
-99.6846	1.7586	0.0598581	1.75854	0.059856	1.76255	0.0599928	
-86.3933	1.76233	0.0710021	1.76228	0.0709999	1.76576	0.0711404	
-73.102	1.63715	0.0533943	1.63711	0.0533929	1.63984	0.0534817	
-59.8107	1.67032	0.064893	1.67029	0.0648916	1.67257	0.0649804	
