Z (nm)	K13PRZ	K13Error PRZ	
-1309.19	0	0	
-1295.9	0	0	
-1282.61	0	0	
-1269.32	0	0	
-1256.03	0	0	
-1242.73	0	0	
-1229.44	0	0	
-1216.15	0	0	
-1202.86	0	0	
-1189.57	0	0	
-1176.28	0	0	
-1162.99	0	0	
-1149.7	0	0	
-1136.4	0	0	
-1123.11	3.62213e-05	3.62031e-05	
-1109.82	0.000190013	0.000189918	
-1096.53	0.00051236	0.000462885	
-1083.24	0.00168929	0.00127928	
-1069.95	0.00411446	0.00291812	
-1056.66	0.00326728	0.00196051	
-1043.37	0.00358679	0.00173805	
-1030.07	0.00638208	0.002898	
-1016.78	0.0114158	0.00598148	
-1003.49	0.0116452	0.00432923	
-990.2	0.0215205	0.00736657	
-976.909	0.0264668	0.00759466	
-963.617	0.0390059	0.01128	
-950.326	0.0700897	0.0179525	
-937.035	0.0712218	0.0163296	
-923.744	0.0874095	0.0162886	
-910.452	0.108189	0.0191473	
-897.161	0.116608	0.017284	
-883.87	0.151871	0.0252387	
-870.578	0.146178	0.0186393	
-857.287	0.183534	0.0243507	
-843.996	0.25275	0.0310447	
-830.705	0.279549	0.0316514	
-817.413	0.265769	0.0258111	
-804.122	0.314173	0.0337938	
-790.831	0.335006	0.031042	
-777.54	0.363628	0.0335099	
-764.248	0.438227	0.0412992	
-750.957	0.523079	0.0453378	
-737.666	0.549217	0.0452966	
-724.374	0.590508	0.0435506	
-711.083	0.720188	0.053904	
-697.792	0.76456	0.0564831	
-684.501	0.821828	0.0577813	
-671.209	0.859093	0.061536	
-657.918	0.847732	0.0546753	
-644.627	0.858521	0.053478	
-631.336	0.943862	0.0619851	
-618.044	0.958063	0.0569044	
-604.753	1.01778	0.0628275	
-591.462	1.05401	0.0580657	
-578.17	1.14237	0.061196	
-564.879	1.25431	0.0682579	
-551.588	1.27621	0.0687184	
-538.297	1.32981	0.0693293	
-525.005	1.35281	0.0687124	
-511.714	1.41922	0.0757966	
-498.423	1.46481	0.0771838	
-485.132	1.60302	0.0784779	
-471.84	1.68316	0.0832643	
-458.549	1.68555	0.0788122	
-445.258	1.77401	0.076512	
-431.966	1.756	0.0746896	
-418.675	1.8676	0.087605	
-405.384	1.87684	0.0852567	
-392.093	1.90793	0.0836504	
-378.801	1.85126	0.0770768	
-365.51	1.91883	0.0781285	
-352.219	1.94222	0.0760109	
-338.928	1.96381	0.0750856	
-325.636	1.9961	0.0778596	
-312.345	2.01106	0.0759319	
-299.054	2.14628	0.089054	
-285.762	2.14112	0.0837112	
-272.471	2.22614	0.0948681	
-259.18	2.12453	0.0859924	
-245.889	2.08284	0.0759429	
-232.597	2.1559	0.0859516	
-219.306	2.19833	0.0872086	
-206.015	2.16932	0.084945	
-192.723	2.07183	0.082311	
-179.432	1.96273	0.0772229	
-166.141	1.89127	0.0680325	
-152.85	1.97027	0.0852257	
-139.558	1.84474	0.065796	
-126.267	1.91601	0.0893548	
-112.976	1.87872	0.073138	
-99.6846	1.79215	0.0610024	
-86.3933	1.79145	0.0721763	
-73.102	1.65999	0.0541353	
-59.8107	1.68936	0.0656325	
-46.5195	1.65011	0.0651132	
-33.2282	1.52293	0.0624818	
-19.9369	1.38958	0.0372031	
-6.64564	1.34009	0.0352854	

