E (eV)	Total	Background	Characteristic	
1395	469.032	198.817	96.5773	
1405	908.221	197.689	252.185	
1415	1867.86	196.732	588.969	
1425	3711.47	195.97	1230.26	
1435	6810.22	195.416	2298.42	
1445	11327.7	195.055	3840.54	
1455	16953.3	194.847	5739.64	
1465	22763.1	194.715	7671.98	
1475	27379.3	194.542	9171.9	
1485	29489.1	194.188	9807.12	
1495	28442.2	193.481	9378.94	
1505	24578.7	192.234	8022.23	
1515	19055.3	190.256	6137.15	
1525	13291	187.379	4199.21	
1535	8389.3	183.478	2569.8	
1545	4849.23	178.504	1406.57	
1555	2626.53	172.495	688.574	
1565	1387.48	165.579	301.489	
1575	755.937	157.954	118.065	

