E (eV)	Total	Background	Characteristic	
1465	22763.1	194.715	4.19176	
1475	27379.3	194.542	10.3725	
1485	29489.1	194.188	23.0126	
1495	28442.2	193.481	45.7759	
1505	24578.7	192.234	81.6395	
1515	19055.3	190.256	130.544	
1525	13291	187.379	187.156	
1535	8389.3	183.478	240.57	
1545	4849.23	178.504	277.251	
1555	2626.53	172.495	286.48	
1565	1387.48	165.579	265.405	
1575	755.937	157.954	220.453	
1585	314.039	149.862	164.177	
1595	251.185	141.562	109.623	
1605	198.943	133.316	65.6272	
1615	160.605	125.379	35.2255	
1625	134.943	117.991	16.952	
1635	118.68	111.366	7.3144	
1645	108.508	105.678	2.82961	

