z,shell,ionization energy (eV)
1,1,1.36000E+01
2,1,2.45900E+01
3,1,5.80000E+01
3,2,5.39200E+00
4,1,1.15000E+02
4,2,9.32200E+00
5,1,1.92000E+02
5,2,1.13860E+01
5,3,1.13860E+01
6,1,2.88000E+02
6,2,1.65900E+01
6,3,1.12600E+01
7,1,4.03000E+02
7,2,2.03300E+01
7,3,1.45300E+01
7,4,1.45300E+01
8,1,5.38000E+02
8,2,2.84800E+01
8,3,1.36200E+01
8,4,1.36200E+01
9,1,6.94000E+02
9,2,3.78500E+01
9,3,1.74200E+01
9,4,1.74200E+01
10,1,8.70100E+02
10,2,4.84700E+01
10,3,2.16600E+01
10,4,2.15600E+01
11,1,1.07500E+03
11,2,6.60000E+01
11,3,3.40000E+01
11,4,3.40000E+01
11,5,5.13900E+00
12,1,1.30800E+03
12,2,9.20000E+01
12,3,5.40000E+01
12,4,5.40000E+01
12,5,7.64600E+00
13,1,1.56400E+03
13,2,1.21000E+02
13,3,7.70000E+01
13,4,7.70000E+01
13,5,9.07500E+00
13,6,9.07500E+00
14,1,1.84400E+03
14,2,1.54000E+02
14,3,1.04000E+02
14,4,1.04000E+02
14,5,1.34600E+01
14,6,8.15100E+00
15,1,2.14800E+03
15,2,1.91000E+02
15,3,1.35000E+02
15,4,1.34000E+02
15,5,1.61500E+01
15,6,1.04900E+01
15,7,1.04900E+01
16,1,2.47600E+03
16,2,2.32000E+02
16,3,1.70000E+02
16,4,1.68000E+02
16,5,2.02000E+01
16,6,1.03600E+01
16,7,1.03600E+01
17,1,2.82900E+03
17,2,2.77000E+02
17,3,2.08000E+02
17,4,2.06000E+02
17,5,2.45400E+01
17,6,1.29700E+01
17,7,1.29700E+01
18,1,3.20630E+03
18,2,3.26500E+02
18,3,2.50600E+02
18,4,2.48500E+02
18,5,2.92400E+01
18,6,1.59400E+01
18,7,1.57600E+01
19,1,3.61000E+03
19,2,3.81000E+02
19,3,2.99000E+02
19,4,2.96000E+02
19,5,3.70000E+01
19,6,1.90000E+01
19,7,1.87000E+01
19,10,4.34100E+00
20,1,4.04100E+03
20,2,4.41000E+02
20,3,3.53000E+02
20,4,3.49000E+02
20,5,4.60000E+01
20,6,2.80000E+01
20,7,2.80000E+01
20,10,6.11300E+00
21,1,4.49400E+03
21,2,5.03000E+02
21,3,4.08000E+02
21,4,4.03000E+02
21,5,5.50000E+01
21,6,3.30000E+01
21,7,3.30000E+01
21,8,7.02700E+00
21,10,7.02700E+00
22,1,4.97000E+03
22,2,5.67000E+02
22,3,4.65000E+02
22,4,4.59000E+02
22,5,6.40000E+01
22,6,3.90000E+01
22,7,3.80000E+01
22,8,8.00000E+00
22,10,6.82000E+00
23,1,5.47000E+03
23,2,6.33000E+02
23,3,5.25000E+02
23,4,5.18000E+02
23,5,7.20000E+01
23,6,4.40000E+01
23,7,4.30000E+01
23,8,8.00000E+00
23,10,6.74000E+00
24,1,5.99500E+03
24,2,7.02000E+02
24,3,5.89000E+02
24,4,5.80000E+02
24,5,8.00000E+01
24,6,4.90000E+01
24,7,4.80000E+01
24,8,8.25000E+00
24,9,7.50800E+00
24,10,7.50800E+00
25,1,6.54400E+03
25,2,7.55000E+02
25,3,6.56000E+02
25,4,6.45000E+02
25,5,8.90000E+01
25,6,5.50000E+01
25,7,5.30000E+01
25,8,9.00000E+00
25,9,9.00000E+00
25,10,7.43400E+00
26,1,7.11700E+03
26,2,8.51000E+02
26,3,7.26000E+02
26,4,7.13000E+02
26,5,9.80000E+01
