"z","dest","src","probability","transition energy (in eV)"
3,1,4,"1.06000E-04","5.20000E+01"
4,1,4,"4.50000E-04","1.10000E+02"
5,1,4,"1.01000E-03","1.85000E+02"
6,1,3,"5.61488E-04","2.82020E+02"
6,1,4,"1.12060E-03","2.82030E+02"
7,1,3,"1.09420E-03","3.93350E+02"
7,1,4,"2.18181E-03","3.93370E+02"
8,1,3,"1.90768E-03","5.23090E+02"
8,1,4,"3.80027E-03","5.23130E+02"
9,1,3,"3.06841E-03","6.71320E+02"
9,1,4,"6.10743E-03","6.71390E+02"
10,1,3,"4.64329E-03","8.48610E+02"
10,1,4,"9.22967E-03","8.48610E+02"
11,1,3,"6.68996E-03","1.04098E+03"
11,1,4,"1.32959E-02","1.04098E+03"
11,2,30,"1.16019E-04","2.81944E+01"
12,1,3,"9.27327E-03","1.25344E+03"
12,1,4,"1.84189E-02","1.25369E+03"
12,2,30,"1.78346E-04","3.31193E+01"
12,3,30,"3.41139E-06","4.96600E+01"
12,4,30,"3.17959E-06","4.93500E+01"
13,1,3,"1.23699E-02","1.48630E+03"
13,1,4,"2.45528E-02","1.48671E+03"
13,1,6,"7.55854E-05","1.55757E+03"
13,1,7,"1.50039E-04","1.55757E+03"
13,2,6,"2.07691E-06","1.22300E+02"
13,2,7,"4.02982E-06","1.14180E+02"
13,3,5,"1.60531E-05","7.10400E+01"
13,3,7,"1.75611E-10","7.63300E+01"
13,4,5,"1.49999E-05","7.05700E+01"
13,4,6,"8.20316E-11","7.58500E+01"
13,4,7,"8.10126E-11","7.58600E+01"
13,2,30,"2.49536E-04","3.81712E+01"
14,1,3,"1.59791E-02","1.73939E+03"
14,1,4,"3.17052E-02","1.73998E+03"
14,1,6,"2.72402E-04","1.83596E+03"
14,1,7,"5.40444E-04","1.83596E+03"
14,2,6,"5.83271E-06","1.55240E+02"
14,2,7,"1.07340E-05","1.45030E+02"
14,3,5,"4.72000E-05","9.50400E+01"
14,3,7,"1.82830E-09","1.02150E+02"
14,4,5,"4.42068E-05","9.43500E+01"
14,4,6,"8.54246E-10","1.00630E+02"
14,4,7,"8.43116E-10","1.01460E+02"
14,2,30,"3.26940E-04","4.33570E+01"
15,1,3,"2.01220E-02","2.01270E+03"
15,1,4,"3.98749E-02","2.01368E+03"
15,1,6,"6.21469E-04","2.13910E+03"
15,1,7,"1.23210E-03","2.13910E+03"
15,2,6,"1.42970E-05","1.89340E+02"
15,2,7,"2.50490E-05","1.86400E+02"
15,3,5,"1.07310E-04","1.23000E+02"
15,3,7,"9.51832E-09","1.27700E+02"
15,4,5,"1.00720E-04","1.21410E+02"
15,4,6,"4.44840E-09","1.29070E+02"
15,4,7,"4.38500E-09","1.26100E+02"
15,2,30,"3.97670E-04","4.86832E+01"
16,1,3,"2.47822E-02","2.30670E+03"
16,1,4,"4.90644E-02","2.30789E+03"
16,1,6,"1.15591E-03","2.46973E+03"
16,1,7,"2.28902E-03","2.46407E+03"
16,2,3,"1.30089E-04","5.32400E+01"
16,2,4,"3.19088E-04","5.45700E+01"
16,2,6,"3.05768E-05","2.27170E+02"
16,2,7,"5.14767E-05","2.24960E+02"
16,3,5,"2.07430E-04","1.48660E+02"
16,3,7,"3.45370E-08","1.60520E+02"
16,4,5,"1.95079E-04","1.48660E+02"
16,4,6,"1.61379E-08","1.60930E+02"
16,4,7,"1.58869E-08","1.58730E+02"
17,1,3,"2.99473E-02","2.62085E+03"
17,1,4,"5.92357E-02","2.62244E+03"
17,1,6,"1.90852E-03","2.81560E+03"
17,1,7,"3.77764E-03","2.81560E+03"
17,2,3,"1.32240E-04","5.85700E+01"
17,2,4,"3.38699E-04","6.03500E+01"
17,2,6,"5.77589E-05","2.68080E+02"
17,2,7,"9.34599E-05","2.66620E+02"
17,3,5,"3.58568E-04","1.84140E+02"
17,3,7,"9.97973E-08","1.96310E+02"
17,4,5,"3.37841E-04","1.82600E+02"
17,4,6,"4.66351E-08","1.95370E+02"
17,4,7,"4.58471E-08","1.93910E+02"
18,1,3,"3.55868E-02","2.95557E+03"
18,1,4,"7.03336E-02","2.95768E+03"
18,1,6,"2.91258E-03","3.19049E+03"
18,1,7,"5.75646E-03","3.19049E+03"
18,2,3,"1.23859E-04","6.40000E+01"
18,2,4,"3.33608E-04","6.63400E+01"
18,2,6,"9.68363E-05","3.11180E+02"
18,2,7,"1.52699E-04","3.11350E+02"
18,3,5,"5.71349E-04","2.21790E+02"
18,3,7,"2.45970E-07","2.35580E+02"
18,4,5,"5.39180E-04","2.20220E+02"
18,4,6,"1.14890E-07","2.33400E+02"
18,4,7,"1.12760E-07","2.33570E+02"
19,1,3,"4.18599E-02","3.31120E+03"
19,1,4,"8.26518E-02","3.31395E+03"
19,1,6,"3.99739E-03","3.58963E+03"
19,1,7,"7.91008E-03","3.58963E+03"
19,2,3,"1.11190E-04","6.95100E+01"
19,2,4,"3.14070E-04","7.25200E+01"
19,2,6,"1.47230E-04","3.61810E+02"
19,2,7,"2.25400E-04","3.61520E+02"
19,3,5,"8.35413E-04","2.62450E+02"
19,3,7,"4.81412E-07","2.79520E+02"
19,3,10,"2.03921E-05","2.97430E+02"
19,4,5,"7.89471E-04","2.59703E+02"
19,4,6,"2.24120E-07","2.77180E+02"
19,4,7,"2.20150E-07","2.76900E+02"
19,4,10,"1.92520E-05","2.94420E+02"
20,1,3,"4.87196E-02","3.68813E+03"
20,1,4,"9.61323E-02","3.69172E+03"
20,1,6,"5.17776E-03","4.01276E+03"
20,1,7,"1.02489E-02","4.01276E+03"
20,2,3,"9.42443E-05","7.50700E+01"
20,2,4,"2.78501E-04","7.89100E+01"
20,2,6,"2.04061E-04","4.15430E+02"
20,2,7,"3.06021E-04","4.15800E+02"
20,3,5,"1.19571E-03","3.06430E+02"
20,3,7,"8.74676E-07","3.27120E+02"
20,3,10,"2.53632E-05","3.53590E+02"
20,4,5,"1.13130E-03","3.02690E+02"
20,4,6,"4.05972E-07","3.23340E+02"
20,4,7,"3.98812E-07","3.23710E+02"
