"#Z","energy (eV)","subshell"
3,54.75,"Kedge"
4,111,"Kedge"
5,187.99,"Kedge"
6,283.79,"Kedge"
7,401.58,"Kedge"
8,531.98,"Kedge"
9,685.37,"Kedge"
10,866.86,"Kedge"
11,1072.1,"Kedge"
12,1304.9,"Kedge"
13,1559.5,"Kedge"
14,1838.8,"Kedge"
15,2145.4,"Kedge"
16,2471.9,"Kedge"
17,2822.3,"Kedge"
18,3202.8,"Kedge"
19,3607.2,"Kedge"
20,4037.9,"Kedge"
21,4492.6,"Kedge"
22,4966.2,"Kedge"
23,5464.9,"Kedge"
24,5988.9,"Kedge"
25,6538.7,"Kedge"
26,7111.7,"Kedge"
27,7708.6,"Kedge"
28,8332.4,"Kedge"
29,8978.5,"Kedge"
30,9658.2,"Kedge"
31,10367,"Kedge"
32,11103,"Kedge"
33,11866,"Kedge"
34,12657,"Kedge"
35,13473,"Kedge"
36,14325,"Kedge"
37,15199,"Kedge"
38,16104,"Kedge"
39,17038,"Kedge"
40,17997,"Kedge"
41,18985,"Kedge"
42,19999,"Kedge"
43,21043,"Kedge"
44,22116,"Kedge"
45,23219,"Kedge"
46,24349,"Kedge"
47,25513,"Kedge"
48,26710,"Kedge"
49,27939,"Kedge"
50,29199,"Kedge"
51,30490,"Kedge"
52,31812,"Kedge"
53,33168,"Kedge"
54,34560,"Kedge"
55,35983,"Kedge"
56,37439,"Kedge"
57,38923,"Kedge"
58,40441,"Kedge"
59,41989,"Kedge"
60,43567,"Kedge"
61,45182,"Kedge"
62,46832,"Kedge"
63,48517,"Kedge"
64,50237,"Kedge"
65,51994,"Kedge"
66,53786,"Kedge"
67,55615,"Kedge"
68,57483,"Kedge"
69,59387,"Kedge"
70,61330,"Kedge"
71,63311,"Kedge"
72,65348,"Kedge"
73,67414,"Kedge"
74,69522,"Kedge"
75,71673,"Kedge"
76,73868,"Kedge"
77,76108,"Kedge"
78,78392,"Kedge"
79,80722,"Kedge"
80,83099,"Kedge"
81,85527,"Kedge"
82,88001,"Kedge"
83,90522,"Kedge"
84,93101,"Kedge"
85,95726,"Kedge"
86,98400,"Kedge"
87,101130,"Kedge"
88,103920,"Kedge"
89,106750,"Kedge"
90,109650,"Kedge"
91,112600,"Kedge"
92,115600,"Kedge"
93,118670,"Kedge"
94,121810,"Kedge"
95,125020,"Kedge"
8,23.7,"LIedge"
9,31,"LIedge"
10,45,"LIedge"
11,63.3,"LIedge"
12,89.4,"LIedge"
13,117.7,"LIedge"
14,148.69,"LIedge"
15,189.29,"LIedge"
16,229.19,"LIedge"
17,270.19,"LIedge"
18,319.99,"LIedge"
19,377.08,"LIedge"
20,437.78,"LIedge"
