"#Z","energy (eV)","fraction","name"
3,54.3000,1.00000,"Ka1"
4,108.5000,1.00000,"Ka1"
5,185.0500,1.00000,"Ka1"
6,281.7700,1.00000,"Ka1"
7,392.3000,1.00000,"Ka1"
8,522.9500,1.00000,"Ka1"
9,677.2400,1.00000,"Ka1"
10,848.3100,1.00000,"Ka1"
11,1041.1000,1.00000,"Ka1"
12,1253.7000,1.00000,"Ka1"
13,1486.9000,1.00000,"Ka1"
14,1740.0000,1.00000,"Ka1"
15,2013.0000,1.00000,"Ka1"
16,2307.0000,1.00000,"Ka1"
17,2622.0000,1.00000,"Ka1"
18,2957.0000,1.00000,"Ka1"
19,3313.0000,1.00000,"Ka1"
20,3691.0000,1.00000,"Ka1"
21,4090.0000,1.00000,"Ka1"
22,4510.0000,1.00000,"Ka1"
23,4950.9000,1.00000,"Ka1"
24,5414.0000,1.00000,"Ka1"
25,5898.0000,1.00000,"Ka1"
26,6403.0000,1.00000,"Ka1"
27,6929.0000,1.00000,"Ka1"
28,7476.8000,1.00000,"Ka1"
29,8046.0000,1.00000,"Ka1"
30,8636.8000,1.00000,"Ka1"
31,9250.2000,1.00000,"Ka1"
32,9885.3000,1.00000,"Ka1"
33,10542.0000,1.00000,"Ka1"
34,11220.0000,1.00000,"Ka1"
35,11922.0000,1.00000,"Ka1"
36,12649.0000,1.00000,"Ka1"
37,13393.0000,1.00000,"Ka1"
38,14163.0000,1.00000,"Ka1"
39,14955.0000,1.00000,"Ka1"
40,15776.0000,1.00000,"Ka1"
41,16617.0000,1.00000,"Ka1"
42,17481.0000,1.00000,"Ka1"
43,18368.0000,1.00000,"Ka1"
44,19282.0000,1.00000,"Ka1"
45,20217.0000,1.00000,"Ka1"
46,21180.0000,1.00000,"Ka1"
47,22166.0000,1.00000,"Ka1"
48,23175.0000,1.00000,"Ka1"
49,24209.0000,1.00000,"Ka1"
50,25272.0000,1.00000,"Ka1"
51,26359.0000,1.00000,"Ka1"
52,27471.0000,1.00000,"Ka1"
53,28615.0000,1.00000,"Ka1"
54,29779.0000,1.00000,"Ka1"
55,30971.0000,1.00000,"Ka1"
56,32196.0000,1.00000,"Ka1"
57,33441.0000,1.00000,"Ka1"
58,34717.0000,1.00000,"Ka1"
59,36031.0000,1.00000,"Ka1"
60,37358.0000,1.00000,"Ka1"
61,38725.0000,1.00000,"Ka1"
62,40118.0000,1.00000,"Ka1"
63,41534.0000,1.00000,"Ka1"
64,42992.0000,1.00000,"Ka1"
65,44476.0000,1.00000,"Ka1"
66,45997.0000,1.00000,"Ka1"
67,47534.0000,1.00000,"Ka1"
68,49100.0000,1.00000,"Ka1"
69,50730.0000,1.00000,"Ka1"
70,52362.0000,1.00000,"Ka1"
71,54078.0000,1.00000,"Ka1"
72,55810.0000,1.00000,"Ka1"
73,57549.0000,1.00000,"Ka1"
74,59315.0000,1.00000,"Ka1"
75,61132.0000,1.00000,"Ka1"
76,63000.0000,1.00000,"Ka1"
77,64917.0000,1.00000,"Ka1"
78,66846.0000,1.00000,"Ka1"
79,68816.0000,1.00000,"Ka1"
80,70806.0000,1.00000,"Ka1"
81,72869.0000,1.00000,"Ka1"
82,74989.0000,1.00000,"Ka1"
83,77091.0000,1.00000,"Ka1"
84,79272.0000,1.00000,"Ka1"
85,81513.0000,1.00000,"Ka1"
86,83771.0000,1.00000,"Ka1"
87,86098.0000,1.00000,"Ka1"
88,88495.0000,1.00000,"Ka1"
89,90895.0000,1.00000,"Ka1"
90,93382.0000,1.00000,"Ka1"
91,95886.0000,1.00000,"Ka1"
92,98434.0000,1.00000,"Ka1"
93,101005.0000,1.00000,"Ka1"
94,103750.0000,1.00000,"Ka1"
95,105970.0000,1.00000,"Ka1"
3,54.3000,1.00000,"Ka2"
4,108.5000,0.50000,"Ka2"
5,185.0500,0.50000,"Ka2"
6,281.7700,0.50000,"Ka2"
7,392.3000,0.50000,"Ka2"
8,522.9500,0.50000,"Ka2"
9,677.2400,0.50000,"Ka2"
10,848.3100,0.50000,"Ka2"
11,1041.1000,0.50000,"Ka2"
12,1253.7000,0.50000,"Ka2"
13,1486.5000,0.50000,"Ka2"
14,1739.0000,0.50330,"Ka2"
15,2012.0000,0.50720,"Ka2"
16,2306.0000,0.50530,"Ka2"
17,2620.0000,0.50540,"Ka2"
18,2955.0000,0.50420,"Ka2"
19,3310.0000,0.50580,"Ka2"
20,3686.9000,0.50590,"Ka2"
21,4085.0000,0.50530,"Ka2"
22,4504.0000,0.50680,"Ka2"
23,4944.0000,0.50990,"Ka2"
24,5405.0000,0.50930,"Ka2"
25,5887.0000,0.50970,"Ka2"
26,6390.1000,0.51230,"Ka2"
27,6914.0000,0.51040,"Ka2"
28,7460.2000,0.51180,"Ka2"
29,8026.2000,0.51400,"Ka2"
30,8614.0000,0.51430,"Ka2"
31,9222.7000,0.51340,"Ka2"
32,9853.8000,0.51500,"Ka2"
33,10506.0000,0.51530,"Ka2"
34,11179.0000,0.51600,"Ka2"
35,11876.0000,0.51820,"Ka2"
36,12596.0000,0.51820,"Ka2"
37,13333.0000,0.51890,"Ka2"
38,14095.0000,0.52090,"Ka2"
39,14880.0000,0.52310,"Ka2"
40,15692.0000,0.50000,"Ka2"
41,16522.0000,0.50000,"Ka2"
42,17376.0000,0.50000,"Ka2"
43,18251.0000,0.50000,"Ka2"
44,19150.0000,0.50000,"Ka2"
45,20073.0000,0.50000,"Ka2"
46,21021.0000,0.50000,"Ka2"
47,21993.0000,0.50000,"Ka2"
48,22986.0000,0.50000,"Ka2"
49,24002.0000,0.50000,"Ka2"
50,25047.0000,0.50000,"Ka2"
51,26115.0000,0.50000,"Ka2"
52,27206.0000,0.50000,"Ka2"
53,28320.0000,0.50000,"Ka2"
54,29458.0000,0.50000,"Ka2"
55,30626.0000,0.50000,"Ka2"
56,31816.0000,0.50000,"Ka2"
57,33039.0000,0.50000,"Ka2"
58,34284.0000,0.50000,"Ka2"
59,35555.0000,0.50000,"Ka2"
60,36847.0000,0.50000,"Ka2"
61,38165.0000,0.50000,"Ka2"
62,39531.0000,0.50000,"Ka2"
63,40889.0000,0.50000,"Ka2"
64,42287.0000,0.50000,"Ka2"
65,43737.0000,0.50000,"Ka2"
66,45190.0000,0.50000,"Ka2"
67,46691.0000,0.50000,"Ka2"
68,48219.0000,0.50000,"Ka2"
69,49771.0000,0.50000,"Ka2"
70,51341.0000,0.50000,"Ka2"
71,52967.0000,0.50000,"Ka2"
72,54627.0000,0.50000,"Ka2"
73,56293.0000,0.50000,"Ka2"
74,57981.0000,0.50000,"Ka2"
75,59716.0000,0.50000,"Ka2"
76,61497.0000,0.50000,"Ka2"
77,63290.0000,0.50000,"Ka2"
78,65122.0000,0.50000,"Ka2"
79,66990.0000,0.50000,"Ka2"
80,68878.0000,0.50000,"Ka2"
81,70825.0000,0.50000,"Ka2"
82,72826.0000,0.50000,"Ka2"
83,74807.0000,0.50000,"Ka2"
84,76864.0000,0.50000,"Ka2"
85,78969.0000,0.50000,"Ka2"
86,81086.0000,0.50000,"Ka2"
87,83209.0000,0.50000,"Ka2"
88,85445.0000,0.50000,"Ka2"
89,87681.0000,0.50000,"Ka2"
90,89986.0000,0.50000,"Ka2"
91,92316.0000,0.50000,"Ka2"
92,94668.0000,0.50000,"Ka2"
93,97023.0000,0.50000,"Ka2"
