E (ev)	Z (nm)	PRZ	Error	
50	-1309.19	0	0	
50	-1295.9	0	0	
50	-1282.61	0	0	
50	-1269.32	0	0	
50	-1256.03	0	0	
50	-1242.73	0	0	
50	-1229.44	0	0	
50	-1216.15	0	0	
50	-1202.86	0	0	
50	-1189.57	0	0	
50	-1176.28	0	0	
50	-1162.99	0	0	
50	-1149.7	0	0	
50	-1136.4	0.0073959	0.0073922	
50	-1123.11	0.0260646	0.0260516	
50	-1109.82	0.00363995	0.00363813	
50	-1096.53	0.0677804	0.0456093	
50	-1083.24	0.0174516	0.0100896	
50	-1069.95	0.0432802	0.0272003	
50	-1056.66	0.0473083	0.0237813	
50	-1043.37	0.0915808	0.0435754	
50	-1030.07	0.0517102	0.0214131	
50	-1016.78	0.0472046	0.0187936	
50	-1003.49	0.0896749	0.0326204	
50	-990.2	0.145402	0.0473868	
50	-976.909	0.225083	0.0626478	
50	-963.617	0.332557	0.0827537	
50	-950.326	0.391654	0.0864199	
50	-937.035	0.448073	0.0948933	
50	-923.744	0.520611	0.101888	
50	-910.452	0.542868	0.105586	
50	-897.161	0.530594	0.0919057	
50	-883.87	0.635527	0.109982	
50	-870.578	0.691216	0.107371	
50	-857.287	0.782957	0.115769	
50	-843.996	0.949076	0.121723	
50	-830.705	1.09505	0.141422	
50	-817.413	0.945752	0.117493	
50	-804.122	1.04186	0.128392	
50	-790.831	0.900846	0.101858	
50	-777.54	1.1615	0.147732	
50	-764.248	1.14568	0.128054	
50	-750.957	1.47863	0.166311	
50	-737.666	1.54207	0.161049	
50	-724.374	1.60951	0.156593	
50	-711.083	1.87383	0.176299	
50	-697.792	1.82532	0.164361	
50	-684.501	1.92382	0.167243	
50	-671.209	2.08976	0.19106	
50	-657.918	2.10372	0.189009	
50	-644.627	2.0573	0.17367	
50	-631.336	1.95356	0.154886	
50	-618.044	2.10653	0.170112	
50	-604.753	2.2014	0.188087	
50	-591.462	2.15469	0.16566	
50	-578.17	2.14094	0.164501	
50	-564.879	2.28877	0.162262	
50	-551.588	2.26257	0.162603	
50	-538.297	2.49922	0.181319	
50	-525.005	2.20458	0.145146	
50	-511.714	2.42806	0.18236	
50	-498.423	2.48952	0.166609	
