E (eV)	Total	Background	Characteristic	
1395	469.032	198.817	173.638	
1405	908.221	197.689	458.347	
1415	1867.86	196.732	1082.16	
1425	3711.47	195.97	2285.24	
1435	6810.22	195.416	4316.38	
1445	11327.7	195.055	7292.12	
1455	16953.3	194.847	11018.8	
1465	22763.1	194.715	14892.2	
1475	27379.3	194.542	18002.4	
1485	29489.1	194.188	19464.8	
1495	28442.2	193.481	18824	
1505	24578.7	192.234	16282.6	
1515	19055.3	190.256	12597.3	
1525	13291	187.379	8717.27	
1535	8389.3	183.478	5395.46	
1545	4849.23	178.504	2986.91	
1555	2626.53	172.495	1478.98	
1565	1387.48	165.579	655.009	
1575	755.937	157.954	259.465	

